Month,Day,Hour,Minute,DHI,DNI,GHI
1,1,0,0,0,0,0
1,1,0,30,0,0,0
1,1,1,0,0,0,0
1,1,1,30,0,0,0
1,1,2,0,0,0,0
1,1,2,30,0,0,0
1,1,3,0,0,0,0
1,1,3,30,0,0,0
1,1,4,0,0,0,0
1,1,4,30,0,0,0
1,1,5,0,0,0,0
1,1,5,30,0,0,0
1,1,6,0,0,0,0
1,1,6,30,0,0,0
1,1,7,0,0,0,0
1,1,7,30,4,3,4
1,1,8,0,10,0,10
1,1,8,30,19,0,19
1,1,9,0,38,0,38
1,1,9,30,82,4,83
1,1,10,0,96,105,139
1,1,10,30,109,31,123
1,1,11,0,115,1,115
1,1,11,30,148,16,156
1,1,12,0,155,9,160
1,1,12,30,101,1,102
1,1,13,0,89,1,90
1,1,13,30,69,0,69
1,1,14,0,76,0,76
1,1,14,30,67,0,67
1,1,15,0,37,0,37
1,1,15,30,38,24,44
1,1,16,0,26,24,30
1,1,16,30,11,0,11
1,1,17,0,2,0,2
1,1,17,30,0,0,0
1,1,18,0,0,0,0
1,1,18,30,0,0,0
1,1,19,0,0,0,0
1,1,19,30,0,0,0
1,1,20,0,0,0,0
1,1,20,30,0,0,0
1,1,21,0,0,0,0
1,1,21,30,0,0,0
1,1,22,0,0,0,0
1,1,22,30,0,0,0
1,1,23,0,0,0,0
1,1,23,30,0,0,0